2020-10-27 21:25:44, -501, 2
2020-10-27 21:25:45, -497, 2
2020-10-27 21:25:46, -501, 2
2020-10-27 21:25:46, -501, 6
2020-10-27 21:25:47, -503, 4
2020-10-27 21:25:48, -499, 4
2020-10-27 21:25:48, -501, 2
2020-10-27 21:25:48, -4, 4
2020-10-27 21:25:53, -501, 2
2020-10-27 21:25:54, -501, 2
2020-10-27 21:25:54, -5, 5
2020-10-27 21:25:54, -501, 2
2020-10-27 21:25:55, -2, 2
2020-10-27 21:25:55, -501, 2
2020-10-27 21:26:05, -502, 3
2020-10-27 21:26:05, -501, 2
2020-10-27 21:26:05, -499, 4
2020-10-27 21:26:06, -501, 2
2020-10-27 21:26:06, -501, 2
2020-10-27 21:26:06, -505, 6
2020-10-27 21:32:30, -502, 3
2020-10-27 21:32:44, -2, 2
2020-10-27 21:32:44, -497, 2
2020-10-27 21:32:44, -498, 3
2020-10-27 21:32:47, -505, 6
2020-10-27 21:32:47, -2, 2
2020-10-27 21:32:47, -501, 2
2020-10-27 21:32:50, 0, 4
2020-10-27 21:32:50, -501, 2
2020-10-27 21:32:52, -506, 12
2020-10-27 21:32:55, -501, 2
2020-10-27 21:32:59, -501, 2
2020-10-27 21:32:59, -501, 2
2020-10-27 21:32:59, -497, 2
2020-10-27 21:33:00, -4, 4
2020-10-27 21:33:00, -505, 6
2020-10-27 21:33:12, -2, 2
2020-10-27 21:33:12, -497, 2
2020-10-27 21:33:13, -497, 2
2020-10-27 21:33:13, -502, 3
2020-10-27 21:33:13, -506, 3
2020-10-27 21:36:04, -501, 2
2020-10-27 21:36:04, -501, 2
2020-10-27 21:36:05, -496, 5
2020-10-27 21:41:54, -502, 3
2020-10-27 21:41:56, -501, 2
2020-10-27 21:41:56, -502, 3
2020-10-27 21:41:57, -503, 4
2020-10-27 21:41:58, -3, 3
2020-10-27 21:41:58, -503, 4
2020-10-27 21:41:59, -4, 4
2020-10-27 21:41:59, -501, 2
2020-10-27 21:41:59, -504, 5
2020-10-27 21:41:59, -503, 9
2020-10-27 21:41:59, -501, 2
2020-10-27 21:41:59, -499, 9
2020-10-27 21:41:59, -1, 5
2020-10-27 21:42:00, -2, 2
2020-10-27 21:42:01, -501, 2
2020-10-27 21:42:01, -501, 2
2020-10-27 21:42:01, -501, 2
